Archivaliensignatur,Datierung von(Zahl),Datierung bis(Zahl),Datierung (Text),Klassifikationsgruppe,Aktentitel,Enthält-Vermerk,Umfang der Akte (Blattzahl),Sortierfeld (intern)
F 15815,19300101,19331231,1930 - 1933,13.06 Firmen F,"Fotoverlag ""Atrium"", Inhaber H. Schmid, Rom (Italien)",,20 Bl.,Fotoverlag Atrium
F 15817,19310101,19311231,1931,13.03 Firmen C,"""Corriere del Libro"" Gius. Gross, Florenz (Italien)",,2 Bl.,Corriere del Libro
F 15818,19320101,19431231,1932 - 1943,13.03 Firmen C,"Chiantore, Giovanni, Casa Editrice, Turin (Italien)",,8 Bl.,"Chiantore, Giovanni"
F 15819,19320101,19421231,1932 - 1942,13.07 Firmen G,"Grossgasteiger & Trinkhauser, Buch- und Papierhandlung, Fotobedarf, Meran (Italien)",,11 Bl.,Grossgasteiger & Trinkhauser
F 15820,19360101,19361231,1936,13.07 Firmen G,"Gruber, Josef, Zeitungsvertrieb, Lana (Italien)",,4 Bl.,"Gruber, Josef"
F 15821,19310101,19311231,1931,13.08 Firmen H,"Hofmann, Photobedarf, Papierwaren, Buchhandlung, Nervi und Viareggio (Italien)","Enthält nur: Erwähnung der Firma in einer Niederschrift des Herrn Schulz vom Börsenverein über ""Besuche in Berlin"".",1 Bl.,Hofmann
F 15822,19300101,19301231,1930,13.09 Firmen I,"Instituto Giovanni Treccani, ""Enciclopedia Italiana"", Rom und Mailand (Italien)",,6 Bl.,Instituto Giovanni Treccani
F 15823,19350101,19501231,1935 - 1950,13.12 Firmen L,"Libreria ""Ledi"" (""Libreria Editrice D'Italia"") S.A., Verlag und Buchhandlung, Mailand und Cadorago (Italien)",,19 Bl.,Libreria Ledi
F 15824,19320101,19431231,1932 - 1943,13.07 Firmen G,"""Galleria del Milione"", Libreria, Mailand (Italien)",,8 Bl.,Galleria del Milione
F 15825,19320101,19421231,1932 - 1942,13.12 Firmen L,"Libreria Smareglia (già Schmidt), Inhaber Dr. Giulio Smareglia, Pola (Italien)",,12 Bl.,Libreria Smareglia
F 15826,19310101,19311231,1931,13.12 Firmen L,"Libreria Vaticana, Città del Vaticano",Enthält nur: Firmenabfrage nach Bestellung.,2 Bl.,Libreria Vaticana
F 15827,19340101,19431231,1934 - 1943,13.12 Firmen L,"Libreria Tipografia H. Mahl, Brunico (Italien)",Enthält nur: Firmenabfrage nach Bestellung.,6 Bl.,Libreria Tipografia H. Mahl
F 15828,19310101,19421231,1931 - 1942,13.29 Firmen Z,"Zipser & König, Buch- und Musikalienhandlung, Musikverlag, Inhaberin Renee Zilahi, Budapest (Ungarn)",Enthält u. a.: Hinweis auf die jüdische Herkunft der Inhaberin.,4 Bl.,Zipser & König
F 15829,19390101,19391231,1939,13.26 Firmen W,"Winterbein [?], Buchhandlung, Pressburg (Bratislava, Slovakei)",Enthält nur: Handschriftliche Notiz mit Erwähnung der Firma.,1 Bl.,Winterbein [?]
F 15830,19410101,19421231,1941 - 1942,13.18 Firmen R,"Renaissance Könvykiadó Kaldor György, Budapest (Ungarn)",Enthält u. a.: Meldung der Firma als nichtarisches Unternehmen im Ausland vom 29. Juli 1942.,3 Bl.,Renaissance Könvykiadó
F 15831,19300101,19421231,1930 - 1942,13.22 Firmen St,"""Szechenyi"" Buchhandlung, Direktor Tibor Bernath, Budapest (Ungarn)",,13 Bl.,Szechenyi Buchhandlung
F 15832,19300101,19311231,1930 - 1931,13.21 Firmen Se,"Spiller, Alexander, Reisebuchhandlung, Verlagsauslieferung, Budapest (Ungarn)",,13 Bl.,"Spiller, Alexander"
F 15833,19360101,19421231,1936 - 1942,13.21 Firmen Se,"""Slovenský stavitel"", Fachzeitschrift, Schriftleiter Dr. Viktor Harman, Pressburg (Bratislava, Slovakei)",,19 Bl.,Slovenský stavitel
F 15834,19340101,19341231,1934,13.19 Firmen Sa,"Sauermann, Rudolf, Buch-, Zeitschriften- und Papierwaren-Vertrieb, Pressburg (Bratislava, Slovakei)",,5 Bl.,"Sauermann, Rudolf"
F 15835,19300101,19301231,1930,13.21 Firmen Se,"Spiller, Sándor, Buchhändler, Budapest (Ungarn)",,2 Bl.,"Spiller, Sándor"
F 15836,19310101,19311231,1931,13.18 Firmen R,"Roettig-Romwalter Druckerei A.-G., Verlagsanstalt und Buchdruckerei, Oedenburg (Sopron, Ungarn)",,12 Bl.,Roettig-Romwalter
F 15838,19300101,19421231,1930 - 1942,13.12 Firmen L,"Lingua Verlags- & Buchhandlungs-Aktiengesellschaft, Direktor Istvan Alföldi, Budapest (Ungarn)",,6 Bl.,Lingua
F 15839,19300101,19311231,1930 - 1931,13.12 Firmen L,"László, Ervin, Buch-, Kunst- und Musikalienhandlung, Miskolc (Ungarn)",,14 Bl.,"László, Ervin"
F 15840,19320101,19361231,1932 - 1936,13.11 Firmen K,"Kovacs, Miklos, Generalvertretung, Budapest (Ungarn)",,6 Bl.,"Kovacs, Miklos"
F 15841,19420101,19421231,1942,13.11 Firmen K,"Kosch, Arpad, Buchdruckerei, Preschau (Presov, Slovakei)",Enthält nur: Erwähnung der Firma in einer Aktennotiz des Börsenvereins.,1 Bl.,"Kosch, Arpad"
F 15842,19320101,19321231,1932,13.08 Firmen H,"Hoffmann, Georg, Buchhandlung, Budapest (Ungarn)",,8 Bl.,"Hoffmann, Georg"
F 15843,19340101,19341231,1934,13.05 Firmen E,"Egyetemes Könyvesbolt, Inhaberin Irma Perlesz, Budapest (Ungarn)",,2 Bl.,Egyetemes Könyvesbolt
F 15844,19330101,19431231,1933 - 1943,13.04 Firmen D,"Danubia Verlagsanstalt A.-G., Leiter Dr. Koloman Kollár, Pécs und Budapest (Ungarn)",,7 Bl.,Danubia Verlagsanstalt
F 15845,19310101,19441231,1931 - 1944,13.04 Firmen D,"Danubia Könyvkiadó R.T., Geschäftsführer Julius Steffek, Pécs und Budapest (Ungarn)",,46 Bl.,Danubia Könyvkiadó R.T.
F 15846,19300101,19311231,1930 - 1931,13.02 Firmen B,"Batisweiler, Martin, Buch- und Kunsthandlung, später Buch-, Papier- und Schreibwarenhandlung ""Danubia"" Budapest (Ungarn)",,4 Bl.,"Batisweiler, Martin"
F 15847,19330101,19381231,1933 - 1938,13.02 Firmen B,"""Bücherwurm"", Buchhandlung, Inhaber Rudolf von Angerbauer, Budapest (Ungarn)",,63 Bl.,Bücherwurm
F 15848,19310101,19311231,1931,13.22 Firmen St,"Stozicky, Johann, Zentralmusikalienhandlung, Musikverlag, Antiquariat, Pressburg (Bratislava, Slovakei)",,2 Bl.,"Stozicky, Johann"
F 15850,19350101,19351231,1935,13.26 Firmen W,"Waldherr, K., Buchverkäufer, Istanbul (Türkei)",,5 Bl.,"Waldherr, K."
F 15851,19330101,19351231,1933 - 1935,13.04 Firmen D,"""Das Deutsche Buch"", Sortimentsbuchhandlung, Inhaber Claus Münchhausen-Halberstaedter, Istanbul (Türkei)",,45 Bl.,Deutsche Buch Das
F 15852,19320101,19321231,1932,13.21 Firmen Se,"Sindicato exportador de libro espanol S.A., (""S.e.l.e.""), Madrid (Spanien)",,3 Bl.,Sindicato exportador de libro espanol
F 15853,19300101,19421231,1930 - 1942,13.18 Firmen R,"Ruiz, Hermanos, Libreria Gutenberg, Madrid (Spanien)",,6 Bl.,"Ruiz, Hermanos"
F 15854,19360101,19441231,1936 - 1944,13.13 Firmen M,"Miracle, Luis, Verlag, Barcelona (Spanien)",,5 Bl.,"Miracle, Luis"
F 15855,19350101,19371231,1935 - 1937,13.12 Firmen L,"Libreria Metropolitana, Inhaber Werner Kalischer, Barcelona (Spanien)",,20 Bl.,Libreria Metropolitana
F 15856,19350101,19361231,1935 - 1936,13.12 Firmen L,"Libreria Verdaguer, Barcelona (Spanien)",,4 Bl.,Libreria Verdaguer
F 15857,19340101,19401231,1934 - 1940,13.12 Firmen L,"Laurencic, E. A., Importacion & Exportacion, Barcelona (Spanien)",,4 Bl.,"Laurencic, E. A."
F 15858,19350101,19401231,1935 - 1940,13.03 Firmen C,"""Cultura"" Eimler-Basanta-Haase S. L., Inhaber Hans Eimler, Santiago Basanta und Paul Haase, Spezialhaus für Lehrmittel, Madrid (Spanien)",,44 Bl.,Cultura Madrid
F 15859,19350101,19351231,1935,13.02 Firmen B,"Biron, G., Privatlehrerin, Buchverkäuferin, Madrid (Spanien)",,10 Bl.,"Biron, G."
F 15860,19350101,19351231,1935,13.01 Firmen A,"Agencia Editorial, Inhaber Hans Erik Hausner, Barcelona (Spanien)",,9 Bl.,Agencia Editorial
F 15861,19360101,19371231,1936 - 1937,13.25 Firmen V,"Verlag ""Der Anwalt im Haag"", Den Haag (Niederlande)",,4 Bl.,Verlag Der Anwalt im Haag
F 15862,19320101,19421231,1932 - 1942,13.22 Firmen St,"""De Steenuil"", Buchverlag, Amsterdam (Niederlande)",,30 Bl.,Steenuil De
F 15863,19390101,19491231,1939 - 1949,13.04 Firmen D,"Dürre, Friedrich Karl, Antiquariat, Leihbücherei, Köln",,14 Bl.,"Dürre, Friedrich Karl"
F 15864,19310101,19371231,1931 - 1937,13.12 Firmen L,"""Literbo"" N.V., Uitgeversmaatschappij, vorm. Koloniale Boek-Centrale, Amsterdam (Niederlande)",,9 Bl.,Literbo Amsterdam
F 15865,19350101,19351231,1935,13.20 Firmen Sch,"Schowe, H., Buch- und Zeitschriftenhandlung, Brunssum (Niederlande)",,2 Bl.,"Schowe, H."
F 15866,19350101,19351231,1935,13.21 Firmen Se,"Seyffardt's Boek- en Muziekhandel N.V., Direktor W. L. Salm, Amsterdam (Niederlande)",,3 Bl.,Seyffardts Boek- en Muziekhandel
F 15867,19250101,19311231,1925 - 1931,13.18 Firmen R,"Roebert's Boekhandel, Uitgeverij, Antiquariaat, 's Gravenhage (Niederlande)",,5 Bl.,Roeberts Boekhandel
F 15868,19580101,19841231,1958 - 1984,13.07 Firmen G,"Gutzschebauch, Rolf, Buchverkauf, Schreibwarenhandlung, Pegau",,10 Bl.,"Gutzschebauch, Rolf"
F 15869,19310101,19311231,1931,13.16 Firmen P,"Pianohandel van 1793 N.V., Firma Peltenburg, Inhaber Cor. A. Mulder, Leiden (Niederlande)",,11 Bl.,Pianohandel van 1793
F 15870,19390101,19391231,1939,13.04 Firmen D,"Dziankowski, J. i W. Wroblewski, Warschau (Polen)",,7 Bl.,"Dziankowski, J. i Wroblewski, W. "
F 15871,19320101,19361231,1932 - 1936,13.12 Firmen L,"Libreria ""Horizonte"", Inhaber Ewald Koenig, Barcelona (Spanien)","Enthält auch: Material zur Firma Uitgevers-Vennootschap v/h Erven Martin G. Cohen, Den Haag, Bl. 1-4.",22 Bl.,Libreria Horizonte
F 15873,19330101,19361231,1933 - 1936,13.14 Firmen N,"Naeff, Gerrit, Uitgeverij, Den Haag (Niederlande)",,7 Bl.,"Naeff, Gerrit"
F 15874,19250101,19421231,1925 - 1942,13.14 Firmen N,"Nabrink's Boekhandel, Gé, Den Haag (Niederlande)",,12 Bl.,"Nabrinks Boekhandel, Gé"
F 15875,19330101,19331231,1933,13.13 Firmen M,"""Mentor"" N.V., Nederlandsche Handelsberichten, Buch- und Zeitschriftenverlag, Amsterdam (Niederlande)",,2 Bl.,Mentor Amsterdam
F 15876,19390101,19441231,1939 - 1944,13.13 Firmen M,"""Melisa"" Messaggerie Librarie S.A., Geschäftsführer Carlo Grassi, Buch- und Kunsthandlung, Lugano (Schweiz)",,56 Bl.,Melisa Lugano
F 15877,19360101,19361231,1936,13.06 Firmen F,"Feldhaus van Ham, Dr. J. F. M., Inhaber der Chemiekalienwerke Kraepelin & Holm, Zeitschriftenagentur, Buchverkauf, Zeist (Niederlande)",,15 Bl.,"Feldhaus van Ham, J. F. M. Dr. "
F 15878,19330101,19331231,1933,13.10 Firmen J,"Jonkers, H., Firmengründer, Eindhoven (Niederlande)",,2 Bl.,"Jonkers, H."
F 15879,19340101,19341231,1934,13.09 Firmen I,"Inrichting voor Natuurgeneeswijze, Abt. Boekhandel, Inhaber Jac. Ides, Amsterdam (Niederlande)",,8 Bl.,Inrichting voor Natuurgeneeswijze
F 15880,19320101,19351231,1932 - 1935,13.08 Firmen H,"""Hirundo"" Import-Boekhandel, Amsterdam (Niederlande)",,43 Bl.,Hirundo Amsterdam
F 15881,19320101,19391231,1932 - 1939,13.08 Firmen H,"van Holkema & Warensdorf, Verlag, Amsterdam (Niederlande)",Enthält u. a.: Hinweis auf die Firma als vermutlich jüdisches Unternehmen.,8 Bl.,Holkema van & Warensdorf
F 15882,19310101,19311231,1931,13.07 Firmen G,"""Grenzverlag"", Eindhoven (Niederlande)",,2 Bl.,"Grenzverlag, Eindhoven"
F 15883,19350101,19431231,1935 - 1943,13.07 Firmen G,"""Genius"" Verlagsgesellschaft, Amsterdam (Niederlande)",,15 Bl.,Genius Verlagsgesellschaft
F 15884,19300101,19301231,1930,13.07 Firmen G,"General Publication, Den Haag (Niederlande)",,7 Bl.,General Publication
F 15885,19350101,19361231,1935 - 1936,13.06 Firmen F,"Fraenkel, H., Boekhandel, Nijmegen (Niederlande)",,10 Bl.,"Fraenkel, H."
F 15886,19360101,19371231,1936 - 1937,13.06 Firmen F,"""Fotag"" Fotoagentur, Inhaber Walter Blumenfeld, Amsterdam (Niederlande)",Enthält u. a.: Hinweis auf die jüdische Herkunft des Inhabers.,6 Bl.,Fotag Amsterdam
F 15887,19340101,19431231,1934 - 1943,13.05 Firmen E,"""Erasmus"" Antiquariat en Boekhandel, Inhaber Dr. Abraham Horodisch und Dr. Walter Baumann, Amsterdam (Niederlande)",Enthält u. a.: Hinweis auf die jüdische Herkunft des Inhabers.,40 Bl.,Erasmus Antiquariat
F 15888,19310101,19311231,1931,13.05 Firmen E,"Elte, George, Antiquariat, Brüssel (Belgien)",,3 Bl.,"Elte, George"
F 15889,19360101,19361231,1936,13.04 Firmen D,"Dreek, Hans, Bücher und Zeitschriften, Den Haag (Niederlande)",,3 Bl.,"Dreek, Hans"
F 15890,19390101,19391231,1939,13.12 Firmen L,"Ley Language School, London (Großbritannien)",,6 Bl.,Ley Language School
F 15891,19370101,19371231,1937,13.04 Firmen D,"Davidsfondsverein, Antwerpen (Niederlande)",Enthält nur: Erwähnung des Vereins auf einer Sammelliste mit Firmenabfragen.,5 Bl.,Davidsfondsverein
F 15892,19340101,19421231,1934 - 1942,13.03 Firmen C,"Centrale Drukkerij N.V., Verlagsabteilung, Nijmegen (Niederlande)",,3 Bl.,Centrale Drukkerij Nijmegen
F 15893,19300101,19301231,1930,13.02 Firmen B,"Buchdruckerei vorm. H. Born, Karten-Verlag, Assen (Niederlande)",,3 Bl.,Buchdruckerei Assen
F 15894,19370101,19421231,1937 - 1942,13.02 Firmen B,"Brugsma, B., Universitätsbuchhandlung, Inhaber W. Landstra, Utrecht (Niederlande)",,7 Bl.,"Brugsma, B."
F 15895,19320101,19321231,1932,13.02 Firmen B,"Brück, J. G. K., Buchhandlung, Leiden (Niederlande)",,3 Bl.,"Brück, J. G. K."
F 15896,19320101,19321231,1932,13.02 Firmen B,"Brinkman & Zoon, J. A., Buchhandlung, Amsterdam (Niederlande)",,7 Bl.,"Brinkman & Zoon, J. A."
F 15897,19340101,19401231,1934 - 1940,13.02 Firmen B,"Bouma's Boekhuis N.V., Buchhandlung, Antiquariat, Groningen (Niederlande)",,18 Bl.,Boumas Boekhuis
F 15898,19340101,19361231,1934 - 1936,13.02 Firmen B,"Brenner, Ernst, Buchhandlung und Antiquariat, Amsterdam (Niederlande)","Enthält auch: Material zur Firma Fritze's Hofbuchhandlung, Stockholm (Schweden), Bl. 1.",11 Bl.,"Brenner, Ernst"
F 15899,19330101,19421231,1933 - 1942,13.02 Firmen B,"Blitz, Andries, Verlag, Amsterdam (Niederlande)",,2 Bl.,"Blitz, Andries"
F 15900,19350101,19351231,1935,13.02 Firmen B,"Becker, Karl, Zeitschriftenvertrieb, Buchverkauf, Blerick (Niederlande)",,4 Bl.,"Becker, Karl"
F 15901,19390101,19391231,1939,13.08 Firmen H,"Huttner, Anton, Fachgeschäft, Ochsenfurt",,1 Bl.,"Huttner, Anton"
F 15902,19390101,19441231,1939 - 1944,13.09 Firmen I,"""Der Innere Kreis"" Verlag Emil Engelhardt, Elgersburg, später Allensbach",,16 Bl.,Innere Kreis Verlag Der
F 15903,19390101,19391231,1939,13.18 Firmen R,"Rausch, Willy, Buchhandlung, Lehr- und Lernmittel, Heidelberg",,6 Bl.,"Rausch, Willy"
F 15904,19390101,19391231,1939,13.11 Firmen K,"Kunstanstalt Schwager & Steinlein G.m.b.H., Mal- und Bilderbücher, Geschäftsführer Heinrich Steinlein, Nürnberg",,6 Bl.,Kunstanstalt Schwager & Steinlein
F 15905,19390101,19451231,1939 - 1945,13.02 Firmen B,"Berger, Gottfried, Buchhandlung und Antiquariat, vormals Hans Gretschel, Wien (Österreich)",,22 Bl.,"Berger, Gottfried"
F 15906,19390101,19391231,1939,13.26 Firmen W,"Weigmann & Co., Abt. Spiele, Grosso-Buchhandel Jugendbücher, St. Gallen (Schweiz)",,2 Bl.,Weigmann & Co.
F 15907,19390101,19491231,1939 - 1949,13.11 Firmen K,"Kohnen, Wilhelm, Buch-und Zeitschriftenhandlung, Wuppertal-Barmen",,15 Bl.,"Kohnen, Wilhelm"
F 15908,19390101,19571231,1939 - 1957,13.11 Firmen K,"Kunze, Erich, Buchvertrieb, Papier- und Schreibwarenhandlung, Weissenfels",,39 Bl.,"Kunze, Erich"
F 15909,19390101,19391231,1939,13.11 Firmen K,"Kirov, Philippe, Buchhandlung, Sofia (Bulgarien)",,5 Bl.,"Kirov, Philippe"
F 15910,19300101,19391231,1930 - 1939,13.15 Firmen O,"Ohle, Ernst, späterer Inhaber Xaver Reimann, Buchhandlung, Düsseldorf",Enthält u. a.: Streichung aus dem Adressbuch des Deutschen Buchhandels als nichtarisches Unternehmen.,78 Bl.,"Ohle, Ernst"
F 15911,19390101,19411231,1939 - 1941,13.23 Firmen T,"Tsivoglou, El. B., Internationale Buch- und Zeitschriftenagentur, Athen (Griechenland)",,32 Bl.,"Tsivoglou, El. B."
F 15912,19390101,19731231,1939 - 1973,13.08 Firmen H,"Hösselbarth, Otto, Inhaber Walter Weidemann, Buch- und Papierhandlung, Waren",,20 Bl.,"Hösselbarth, Otto"
F 15913,19390101,19491231,1939 - 1949,13.02 Firmen B,"Barth, Walther, Buchhandlung, Antiquariat, Hamburg",,21 Bl.,"Barth, Walther"
F 15914,19390101,19491231,1939 - 1949,13.04 Firmen D,"Dorn-Verlag Carl August Breuer K.-G., Berlin",,29 Bl.,Dorn-Verlag
F 15915,19390101,19391231,1939,13.07 Firmen G,"Geissen, Johann, Buch- und Papierhandlung, Detmold",Enthält nur: Ausschnitt aus dem Deutschen Reichsanzeiger Nr. 72 vom 25.03.1939.,1 Bl.,"Geissen, Johann"
F 15916,19390101,19391231,1939,13.14 Firmen N,"Norsk Forlagsselskap, Oslo (Norwegen)",,4 Bl.,Norsk Forlagsselskap
F 15917,19390101,19391231,1939,13.05 Firmen E,"Engelhart, Paul, Geislingen","Enthält nur: Ausschnitt aus dem ""Vertraulichen Verzeichnis von Schuldnern"" Nr. 44 vom 27.3.1939.",1 Bl.,"Engelhart, Paul"
F 15918,19390101,19391231,1939,13.20 Firmen Sch,"Schultz, Hermann, Hamburg","Enthält nur: Ausschnitt aus dem ""Vertraulichen Verzeichnis von Schuldnern"" Nr. 44 vom 27.3.1939.",1 Bl.,"Schultz, Hermann"
F 15919,19390101,19391231,1939,13.18 Firmen R,"Runeff, Hristo, Buchhandlung, Sofia (Bulgarien)",,6 Bl.,"Runeff, Hristo"
F 15920,19390101,19391231,1939,13.22 Firmen St,"Straky, Albert, Buch- und Papierhandlung, Pancevo (Jugoslavien)",,5 Bl.,"Straky, Albert"
F 15921,19390101,19391231,1939,13.21 Firmen Se,"Sedlar, J., Buchhandlung, Semlin (Jugoslavien)","Enthält auch: Material zur Firma Straky, Albert, Pancevo (Jugoslavien), Bl. 1-2.",7 Bl.,"Sedlar, J."
F 15922,19390101,19491231,1939 - 1949,13.25 Firmen V,"Verlag ""Die Fähre"" Günter Wapler, Inhaber Günter Wapler und Erich Homuth, Magdeburg",,40 Bl.,Verlag Die Fähre
F 15923,19390101,19491231,1939 - 1949,13.01 Firmen A,"Althoff, Theodor G.m.b.H., Kommissionsgeschäft, vormals Lindemann & Co. G.m.b.H., Warenhaus, Inhaber Rudolph Karstadt A.-G., Hannover",,23 Bl.,"Althoff, Theodor "
F 15924,19390101,19481231,1939 - 1948,13.23 Firmen T,"Theurich, Max, Buch- und Papierhandlung, Bürobedarf, Berlin",,7 Bl.,"Theurich, Max"
F 15925,19390101,19391231,1939,13.08 Firmen H,"Holländer, Adolf, Buchverkauf, Lugano (Schweiz)",,6 Bl.,"Holländer, Adolf"
F 15926,19390101,19481231,1939 - 1948,13.21 Firmen Se,"Sempf-Verlag, Adolf, Leipzig, später Borna",,22 Bl.,"Sempf-Verlag, Adolf"
F 15927,19390101,19391231,1939,13.13 Firmen M,"Magazin Shapur Otto Sussmann, Teheran (Iran)",,4 Bl.,Magazin Shapur
F 15928,19390101,19521231,1939 - 1952,13.11 Firmen K,"Kleinmachnower Bücherstube Margarete Thiemann geb. Troost, Buchhandlung, Leihbücherei, Kleinmachnow",,62 Bl.,Kleinmachnower Bücherstube
F 15929,19390101,19391231,1939,13.18 Firmen R,"Rohrer, Rudolf M., Buch- und Steindruckerei, Verlag, Brünn (Brno, Tschechien)",Enthält nur: Erwähnung der Firma durch ein Schreiben an den Börsenverein.,1 Bl.,"Rohrer, Rudolf M."
F 15930,19390101,19391231,1939,13.08 Firmen H,"Huuk, Otto, Buchverkaufsstelle, Rastenburg (Ketrzyn, Polen)",,2 Bl.,"Huuk, Otto"
F 15931,19390101,19491231,1939 - 1949,13.08 Firmen H,"Hutter, Josefine, Buchhandlung, Antiquariat, Günzburg",,9 Bl.,"Hutter, Josefine"
F 15932,19390101,19431231,1939 - 1943,13.21 Firmen Se,"Sommer, Josef, Buchhandlung, Papier- und Bürowaren, Schwaz (Österreich)",,7 Bl.,"Sommer, Josef"
F 15933,19390101,19391231,1939,13.07 Firmen G,"Göckeritz, Karl, Buchverkaufsstelle, Wittichenau",,2 Bl.,"Göckeritz, Karl"
F 15934,19390101,19431231,1939 - 1943,13.04 Firmen D,"Ditterich, Albert, Buchhandlung und Verlag, Innsbruck (Österreich)",,27 Bl.,"Ditterich, Albert"
F 15935,19390101,19491231,1939 - 1949,13.11 Firmen K,"Kunze, Friedrich Felix, Reise- und Versandbuchhandlung, Karlsruhe",,8 Bl.,"Kunze, Friedrich Felix"
F 15936,19390101,19401231,1939 - 1940,13.26 Firmen W,"Williams Book Store, Boston (USA)",,10 Bl.,Williams Book Store
F 15937,19390101,19431231,1939 - 1943,13.24 Firmen U,"Uitgeversmaatschappij J. H. Kok, N.V., Buch- und Zeitschriftenverlag, Kampen (Niederlande)",,6 Bl.,Uitgeversmaatschappij J. H. Kok
F 15938,19390101,19391231,1939,13.06 Firmen F,"Film stories for international film production, London (Großbritannien)",,4 Bl.,Film stories 
F 15939,19390101,19391231,1939,13.25 Firmen V,"Verlag der Auslandsdeutschen-Mission, Banz",,5 Bl.,Verlag der Auslandsdeutschen-Mission
F 15940,19390101,19391231,1939,13.04 Firmen D,"von Dolsperg, H., Kunstantiquariat, Kassel",Enthält nur: Erwähnung der Firma in einer Aktennotiz für den Börsenverein.,1 Bl.,"Dolsperg, H. von"
F 15941,19390101,19391231,1939,13.06 Firmen F,"""Falei"" Richard Storch, Leihbücherei, Hamburg",,1 Bl.,Falei Richard Storch
F 15942,19390101,19411231,1939 - 1941,13.25 Firmen V,"Verlag für Traditionspflege Rudolf Hans von Heininger, Berlin",,3 Bl.,Verlag für Traditionspflege
F 15943,19390101,19391231,1939,13.26 Firmen W,"Weber, R. L., Buchvertreter, Voorburg (Niederlande)",,20 Bl.,"Weber, R. L."
F 15944,19390101,19391231,1939,13.06 Firmen F,"Fraser, Georg, Agentur, früher Geschäftsführer des Marton-Verlages, Wien (Österreich)",,7 Bl.,"Fraser, Georg"
F 15945,19390101,19391231,1939,13.02 Firmen B,"Biwer, Mich., Reisebuchhandlung, Luxemburg (Luxemburg)",,4 Bl.,"Biwer, Mich."
F 15946,19390101,19411231,1939 - 1941,13.18 Firmen R,"Rondo-Verlag G.m.b.H., Musikverlag, Geschäftsführer Rudolf Eichmann, Berlin",,11 Bl.,Rondo-Verlag 
F 15947,19390101,19391231,1939,13.02 Firmen B,"Bödler-Huber, Franz, Buchvertretungen, Papeterie, Männedorf (Schweiz)","Enthält nur: Ausschnitt aus dem ""Anzeiger für den schweizerischen Buchhandel"", Nr. 6 vom 25.03.1939.",1 Bl.,"Bödler-Huber, Franz"
F 15948,19390101,19421231,1939 - 1942,13.02 Firmen B,"Bandschapp, Leo, Verlagsauslieferung, Devotionalien, Inhaberin Charlotte Bandschapp, Zürich und Baden (Schweiz)","Enthält u. a.: Ausschnitt aus dem ""Anzeiger für den schweizerischen Buchhandel"", Nr. 6 vom 25.03.1939.",6 Bl.,"Bandschapp, Leo"
F 15949,19390101,19391231,1939,13.05 Firmen E,"Erasmus-Verlag Luzern, Luzern (Schweiz)","Enthält nur: Ausschnitt aus dem ""Anzeiger für den schweizerischen Buchhandel"", Nr. 6 vom 25.03.1939.",1 Bl.,Erasmus-Verlag Luzern
F 15950,19390101,19391231,1939,13.14 Firmen N,"Nordeuropäischer Buch-Klub, Göteborg (Schweden)","Enthält nur: Presseartikel in ""Die Zukunft"", Paris vom 31.3.1939.",1 Bl.,Nordeuropäischer Buch-Klub
F 15951,19390101,19391231,1939,13.14 Firmen N,"Nordmark-Verlag Friedrich Wilhelm Schmidt, Hamburg ",,1 Bl.,Nordmark-Verlag
F 15952,19390101,19531231,1939 - 1953,13.23 Firmen T,"Topf, Wilhelm, Buchhandlung und Antiquariat, Mainz, später Erfurt",,57 Bl.,"Topf, Wilhelm"
F 15953,19390101,19411231,1939 - 1941,13.21 Firmen Se,"Skandinavisk Litteratur Bureau Hans Leander, späterer Inhaber Nils Holmberg, Stockholm (Schweden)",,223 Bl.,Skandinavisk Litteratur Bureau
F 15954,19360101,19521231,1936 - 1952,13.01 Firmen A,"Asia Major G.m.b.H., Verlag, Leipzig",,10 Bl.,Asia Major
F 15955,19390101,19491231,1939 - 1949,13.29 Firmen Z,"Zimmer, Johann Josef, Verlag, Dienstleistungen und Agentur, Trier",,29 Bl.,"Zimmer, Johann Josef"
F 15956,19300101,19411231,1930 - 1941,13.25 Firmen V,"Verlag ""Die Brücke"" Wilhelm Neumann, Berlin",,40 Bl.,Verlag Die Brücke
F 15957,19390101,19391231,1939,13.08 Firmen H,"Heckel, Dr. Adolf, Rezensent, Nürnberg","Enthält nur: Ausschnitt aus den ""Vertraulichen Mitteilungen"" für die Fachgruppe Sortiment Nr. 10 vom 3.4.1939.",1 Bl.,"Heckel, Adolf Dr. "
F 15958,19390101,19461231,1939 - 1946,13.01 Firmen A,"Alisch-Verlag, Erich Robert, Berlin, Wien (Österreich)",,26 Bl.,"Alisch-Verlag, Erich Robert"
F 15959,19390101,19391231,1939,13.03 Firmen C,"Cratander A.-G., Verlag, Basel (Schweiz)",,4 Bl.,Cratander A.-G.
F 15960,19410101,19411231,1941,13.11 Firmen K,"Kohl, Alfred, Gemischtwaren, Schulbuchvertrieb, Netschetin (Nectiny, Tschechien)",,1 Bl.,"Kohl, Alfred"
F 15961,19390101,19391231,1939,13.16 Firmen P,"Pollack, Willy Israel, Havanna (Kuba)",,3 Bl.,"Pollack, Willy Israel"
F 15962,19390101,19441231,1939 - 1944,13.18 Firmen R,"Rupp, Bohuslav, Katholische Buchhandlung, Verlag und Antiquariat, Prag (Tschechien)",,33 Bl.,"Rupp, Bohuslav"
